tick,time_s,decision,p_x,m_x,s_x,p_v,m_v,s_v,p_a,m_a,s_a,gap_ps,gap_pm,target_x_m_star,target_t_m_star,target_v_star
79,7.9,merge,96.04044271043784,78.52521722834683,57.526490387826925,6.183717742615208,4.854081049829853,3.309671412850323,1.0032318315861015,0.9265061389469842,0.6279437657766952,38.51395232261092,17.51522548209101,110.0,12.4,9.0
80,8.0,merge,96.66372562701018,79.01519046587006,57.860593684952704,6.280919573257753,4.944743693664803,3.3723994884182775,0.9419650654484231,0.8880975244205053,0.6282296965906758,38.803131942057476,17.648535161140117,110.0,12.5,9.0
81,8.1,merge,97.29634827131656,79.51397237850358,58.200917633089254,6.3697973967570904,5.029621718333846,3.433566011298088,0.8377994638138831,0.8117147963750879,0.5974072276710513,39.095430638227306,17.78237589281298,110.0,12.6,9.0
82,8.200000000000001,merge,97.93727913549047,80.02080774147242,58.547160464699836,6.446519426682249,5.105307989651668,3.4903558519493783,0.6997569552675238,0.7050457778256862,0.5413036318875086,39.390118670790635,17.916471394018046,110.0,12.200000000000001,9.0
83,8.3,merge,98.5856579842224,80.53511238832452,58.89919091584698,6.5232587333980625,5.1832041515286305,3.5530876848519743,0.8318425740314248,0.8502077352877201,0.7113773976517548,39.686467068375414,18.050545595897873,110.0,12.3,9.0
84,8.4,merge,99.24219751251336,81.0577737517507,59.25820701225842,6.608055046127022,5.270907696030092,3.628733276062648,0.8632384280364702,0.9032820657092804,0.8013140400212001,39.98399050025494,18.184423760762655,110.0,12.4,9.0
85,8.5,merge,99.90723264532578,81.5893409950242,59.62512301680885,6.691811758446326,5.360068948298954,3.709980690508786,0.8130801873919167,0.8811793757874142,0.824933869584648,40.28210962851693,18.317891650301576,110.0,12.5,9.0
86,8.6,merge,100.58028057555262,82.12960962781875,60.000188560171075,6.767234005158471,5.4439326860699495,3.7908242464534467,0.6982936186155311,0.7989006893227406,0.7945587753451988,40.580092015381545,18.45067094773387,110.0,12.6,9.0
87,8.700000000000001,merge,101.26021016647545,82.6777716371044,60.383111948342595,6.828615977849673,5.5171541641671,3.8664198862849934,0.5337595174141639,0.6696761544086436,0.7211158410692992,40.87709821813285,18.582438529371046,110.0,12.700000000000001,9.0
88,8.8,merge,101.94539090176231,83.23254790742894,60.77316952133357,6.871644472175409,5.575628810560742,3.9329507878554564,0.332473364671124,0.5050997215034825,0.6142384959580923,41.17222138042874,18.71284299433337,110.0,12.3,9.0
89,8.9,merge,102.63453624294054,83.7929829382918,61.16993211185433,6.914337790757217,5.636435976549587,4.006172033233781,0.5170211996713512,0.7069669222580729,0.8465098092444647,41.46460413108621,18.84155330464874,110.0,12.4,9.0
90,9.0,merge,103.32862275478142,84.36027011916417,61.574958325072636,6.9680561556816665,5.710382874941403,4.09610468012,0.5568434931795349,0.7714780302930544,0.9516500112281548,41.753664429708785,18.96835263561725,110.0,12.5,9.0
91,9.1,merge,104.02808328402735,84.93508612012627,61.98932686604439,7.019931219016001,5.785204785286277,4.19132081915562,0.48343166129376025,0.7275161324124946,0.9549087624462321,42.03875641798296,19.092997163901074,110.0,12.6,9.0
92,9.200000000000001,merge,104.73221415397293,85.51701915616225,62.41309452760635,7.060030877668381,5.851334637270271,4.282757471093096,0.32407796610621314,0.6002027861577333,0.8783769133930893,42.319119626366586,19.215194997810684,110.0,12.700000000000001,9.0
93,9.3,merge,105.439448411775,86.10482048259976,62.84551731837167,7.080957836599592,5.901542934388936,4.363413529404731,0.10224192382124683,0.411216933744459,0.741241082231733,42.593931093403334,19.33462792917524,110.0,12.8,9.0
94,9.4,merge,106.14759073971717,86.69662145822176,63.28524254530987,7.077484078032934,5.930608988192284,4.428071780556323,-0.1620980860504023,0.17910208575856404,0.5600305051828635,42.8623481944073,19.450969281495418,110.0,12.4,9.0
95,9.5,merge,106.85507629635805,87.29114614501006,63.7314562949265,7.077508734592433,5.965376301632562,4.502080659207443,0.15484506077655588,0.5086335089705869,0.9127095795360588,43.12362000143155,19.56393015134799,110.0,12.5,9.0
96,9.600000000000001,merge,107.56374666600087,87.89040439336154,64.18645951579865,7.097335833395829,6.021542857034058,4.6002723684736395,0.24107124901933852,0.6138790474153175,1.0500178427431401,43.37728715020222,19.67334227263933,110.0,12.600000000000001,9.0
97,9.700000000000001,merge,108.27452702460455,88.49550783771066,64.65167926363027,7.116817510353315,6.079444740706982,4.7036521011467185,0.1537975715757391,0.5489580816614834,1.0217454426849057,43.62284776097428,19.77901918689389,110.0,12.700000000000001,9.0
98,9.8,merge,108.98659869830404,89.10585829282223,65.12687959465165,7.121076814813179,6.124412560048026,4.79783286382198,-0.05862864677381868,0.35977461562363156,0.8703733513682433,43.85971910365238,19.880740405481802,110.0,12.8,9.0
99,9.9,merge,109.69788344889872,89.71960751978408,65.61058698372767,7.099666785248369,6.145991424766963,4.8723398778006,-0.3558182575688571,0.08483950793886086,0.6317733570649111,44.08729646517105,19.978275929114645,130.0,14.4,11.0
100,10.0,merge,110.40675715636596,90.33502084100319,66.10098576151822,7.084492648074672,6.166093220347304,4.93573697530734,0.0453259529956751,0.31394288849341845,0.6378389075214331,44.30577139484774,20.07173631536277,110.0,13.0,8.0
101,10.100000000000001,merge,111.11426702303137,90.95269067055965,66.59812552797216,7.054671740546654,6.1825140414728095,5.01069487677453,-0.6168269006088132,0.026493272277981594,0.856055820034288,44.516141495059216,20.161576352471727,130.0,14.600000000000001,11.0
102,10.200000000000001,merge,111.81728390876444,91.57134219120402,67.10326352507103,7.011856475643705,6.193154480536701,5.09005322655109,-0.24537532520621524,0.18478204329416612,0.7353223058767637,44.71402038369341,20.245941717560413,130.0,14.700000000000001,11.0
103,10.3,merge,112.51769315319198,92.19172889289429,67.615696621526,7.000733857680331,6.216049293023779,5.1562423728764415,0.01896482325355564,0.2729627364227753,0.5933162093122474,44.901996531665986,20.325964260297695,130.0,14.8,11.0
104,10.4,merge,113.21815454235039,92.81474481810449,68.13401148175703,7.011369923921146,6.244758040768847,5.20743106065488,0.1915308984110332,0.302283482452995,0.4358608852027972,45.08414306059336,20.403409724245904,130.0,14.9,11.0
105,10.5,merge,113.92040872775905,93.44069429680872,68.65663953977274,7.035292053897364,6.2739081155459315,5.242333936094081,0.28622664177219925,0.28286459363092126,0.26805962081641815,45.26376918798631,20.479714430950338,130.0,14.5,11.0
106,10.600000000000001,merge,114.6261122411947,94.06999030236871,69.18237407299848,7.085975170715471,6.316794356516437,5.27398169859758,0.7180865040288964,0.5698253977560426,0.3655461276693929,45.44373816819622,20.556121938825996,130.0,14.600000000000001,11.0
107,10.700000000000001,merge,115.33876088201072,94.70479456520309,69.71163459151622,7.171456316878405,6.38198940242155,5.3116344645035,0.9856330830512117,0.7317418216994337,0.3898735627769936,45.6271262904945,20.63396631680763,130.0,14.700000000000001,11.0
108,10.8,merge,116.06105931335404,95.34674955475587,70.24467984680943,7.276686482289088,6.458084665867837,5.3486919163647295,1.116095188483327,0.7901932475625066,0.35512246845413287,45.8163794665446,20.714309758598162,130.0,14.8,11.0
109,10.9,merge,116.79433853386462,95.99646077683644,70.78117616648977,7.389193131056883,6.535710127825195,5.379878449141382,1.1338061746786159,0.7643989446103474,0.2737266156968221,46.013162367374846,20.797877757028175,130.0,14.9,10.0
110,11.0,merge,117.53881288494892,96.65392828947022,71.32086198080174,7.499184841628842,6.614375055376532,5.417065268342511,1.067256385433722,0.80849375572172,0.46737945245692053,46.21795090414719,20.88488459547871,130.0,15.0,10.0
111,11.100000000000001,merge,118.29382610514087,97.31933920257605,71.86506924188113,7.598745088401263,6.693193940632776,5.468705794462917,0.9271708452961073,0.7695265314302779,0.5649266657695858,46.428756863259736,20.97448690256482,130.0,14.600000000000001,11.0
112,11.200000000000001,merge,119.058929477568,97.99291594613064,72.41493288997103,7.709015668262222,6.782312545219572,5.530272972018511,1.2688198688186245,1.007844711342843,0.6672575368779278,46.64399658759697,21.066013531437363,130.0,14.700000000000001,11.0
113,11.3,merge,119.83640301178272,98.67630444374602,72.97127046174637,7.84263281347893,6.886622737723667,5.5963170242959155,1.3995083936243717,1.0777613324373545,0.6575363639771605,46.86513255003635,21.1600985680367,130.0,14.8,11.0
114,11.4,merge,120.62760064785064,99.37024262423866,73.53401249166852,7.980703186127659,6.991091201192686,5.656913953625301,1.3624996125120108,1.0147564440283785,0.560909186392189,47.09358815618212,21.257358023611985,130.0,14.9,10.0
115,11.5,merge,121.43216926623457,100.07444503448913,74.1029741789025,8.10762763686955,7.09315143089436,5.726840981984397,1.1799844332126597,1.0264188574599742,0.8322033480137065,47.32919508733207,21.357724231745436,130.0,15.0,10.0
116,11.600000000000001,merge,122.24835423274409,100.78870153147237,74.68001202180957,8.211474775326758,7.19015927086572,5.815807814861852,0.9041276547071161,0.9172409298841915,0.9457202532211078,47.56834221093452,21.45965270127172,130.0,15.100000000000001,10.0
117,11.700000000000001,merge,123.07342826224975,101.51195313339427,75.26629604180754,8.284310773462995,7.271529998091752,5.909669857703286,0.5623671103748179,0.7166334564218559,0.9335378037248324,47.80713222044221,21.561475128855477,130.0,14.700000000000001,11.0
118,11.8,merge,123.90540020913372,102.24313069620794,75.8619894446712,8.362099345686307,7.356288152187374,6.004866923476216,0.9807159408120609,0.9726739252463346,0.9736202033247255,48.04341076446252,21.662269512925775,130.0,14.8,11.0
119,11.9,merge,124.74669795867796,102.98362900427469,76.46711316330106,8.46561944752104,7.453790181448703,6.09551955015506,1.086559680842007,0.9793792228949302,0.8482672774556986,48.27958479537689,21.763068954403266,130.0,15.4,9.0
120,12.0,merge,125.59732021090957,103.73322440961624,77.08114779302744,8.53364609269641,7.531586084699718,6.187496633198146,0.29566556519223486,0.5874053216340496,0.987699737865442,48.51617241788213,21.86409580129333,130.0,15.0,10.0
121,12.100000000000001,merge,126.45186429044911,104.48929494495195,77.70517548532716,8.554429774127419,7.5896291547260235,6.29633782206685,0.1272668413323921,0.5756540172896691,1.1845558907581453,48.74668880512195,21.96256934549716,130.0,15.100000000000001,10.0
122,12.200000000000001,merge,127.30741203682601,105.25081350415698,78.34068729812275,8.551524942932053,7.637722428321343,6.413512253898079,-0.17283857548540285,0.3944134859876445,1.1613585211585393,48.96672473870326,22.056598532669028,130.0,15.200000000000001,10.0
123,12.3,merge,128.16101449378147,106.01602403646484,78.98751333283572,8.514085658120015,7.661478720268917,6.5198945353596285,-0.5592745661114693,0.09374470816006081,0.9744584445248481,49.17350116094575,22.144990457316624,130.0,15.3,10.0
124,12.4,merge,129.00885100296648,106.78196766088016,79.64383790945736,8.435387662823038,7.651088130379465,6.601548096793191,-0.9948351062325751,-0.2847208871493019,0.6714257512365895,49.36501309350912,22.226883342086325,150.0,16.9,12.0
125,12.5,merge,129.84796824530613,107.54585227122418,80.30707654664565,8.352373162284948,7.6285892722658355,6.660618703983872,-0.6698621635963005,-0.1656124997631244,0.5150423119349355,49.54089169866049,22.302115974081957,150.0,17.0,12.0
